"word","new_label"
"20th Century Fox","USA"
"A Coruña","Spain"
"A-Tec","Austria"
"A1","Austria"
"A2A","Italy"
"ABB","Switzerland"
"ABC","USA"
"ABI","UK"
"ABN","Netherlands"
"ABN AMRO","Netherlands"
"ABN Amro","Netherlands"
"ACS","Spain"
"ADAC","Germany"
"ADP","France"
"AEB","Spain"
"AENA","Spain"
"AFP","France"
"AGF","France"
"AIG","USA"
"AK","Austria"
"AKP","Türkiye"
"AKV","Austria"
"AMD","USA"
"AMF","France"
"AMS","Austria"
"ANC","South Africa"
"ANPE","France"
"AOL","USA"
"APA","Austria"
"ARD","Germany"
"ASN","France"
"AT&S","Austria"
"AT&T","USA"
"ATT","USA"
"AUA","Austria"
"AWD","Germany"
"AXA","France"
"AXA France","France"
"Aachen","Germany"
"Aareal Bank","Germany"
"Abanca","Spain"
"Abbas","Israel"
"Abbey","UK"
"Abe","Japan"
"Abengoa","Spain"
"Aberdeen","UK"
"Abertis","Spain"
"Abi","Italy"
"Abn Amro","Netherlands"
"Abruzzo","Italy"
"Abu Dhabi","UAE"
"Abu Mazen","Palestine"
"Académie de France","France"
"Accenture","Ireland"
"Accenture France","France"
"Acciona","Spain"
"Accor","France"
"Acea","Italy"
"Acerinox","Spain"
"Achleitner","Germany"
"Adecco","Switzerland"
"Adeg","Austria"
"Ademe","France"
"Adidas","Germany"
"Adif","Spain"
"Adler","Germany"
"Administración central","Spain"
"Adolfo Urso","Italy"
"Adr","Italy"
"Adria","Southern Europe"
"Aegis Media France","France"
"Aegypten","Egypt"
"Aena","Spain"
"AfD","Germany"
"Afghan","Afghanistan"
"Afghanistan","Afghanistan"
"Africa","Africa"
"African","Africa"
"African-American","USA"
"Afrika","Africa"
"Afrikas","Africa"
"Afrique","Africa"
"Afrique du Sud","Southern Africa"
"Agbar","Spain"
"Agcom","Italy"
"Agence France","France"
"Agence France Presse","France"
"Agence France Trésor","France"
"Agence France-Presse","France"
"Agencia Tributaria","Spain"
"Agenzia delle Entrate","Italy"
"Agenzia delle entrate","Italy"
"Agnelli","Italy"
"Agrana","Austria"
"Ahmadi-Nejad","Iran"
"Ahmadinedschad","Iran"
"Ahmadinejad","Iran"
"Ahorro Corporación","Spain"
"Aia","Italy"
"Aifa","Italy"
"Aim","UK"
"Air Berlin","Germany"
"Air Europa","Spain"
"Air France","France"
"Air France-KLM","France"
"Air Liquide","France"
"Air Nostrum","Spain"
"Airbnb","USA"
"Airbus","Europe"
"Airef","Spain"
"Aix-en-Provence","France"
"Alabama","USA"
"Alain Juppé","France"
"Alan Greenspan","USA"
"Alaska","USA"
"Albacete","Spain"
"Albania","Albania"
"Albanien","Albania"
"Alberto Ruiz-Gallardón","Spain"
"Alcalá de Henares","Spain"
"Alcan","Canada"
"Alcatel","France"
"Alcatel-Lucent","France"
"Alcatel-Lucent France","France"
"Alcoa","USA"
"Alcobendas","Spain"
"Alcorcón","Spain"
"Aldeasa","Spain"
"Aldi","Germany"
"Alemania","Germany"
"Alessandria","Italy"
"Alessandro Profumo","Italy"
"Alexander Dobrindt","Germany"
"Alfa","Italy"
"Alfa Romeo","Italy"
"Alfano","Italy"
"Alfred Gusenbauer","Austria"
"Algeciras","Spain"
